"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Classique Visa Desjardins","","11/12/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",57.73$,0.00$,"Cleared"
"WealthSimple Cash","","11/12/2024","MacroFactor","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Reconciled"
"WealthSimple Cash","","11/12/2024","Money transfer sent to /Katherine /","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",0.00$,5.00$,"Reconciled"
"WealthSimple Cash","","11/12/2024","Money transfer sent to /Katherine /","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",0.00$,48.00$,"Reconciled"
"Classique Visa Desjardins","","10/12/2024","ILYS 4029357733 ON","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",29.51$,0.00$,"Cleared"
"WealthSimple Cash","","10/12/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",26.11$,0.00$,"Reconciled"
"WealthSimple Cash","","10/12/2024","YouTube Premium","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Reconciled"
"Classique Visa Desjardins","","10/12/2024","NAME-CHEAP.COM* IQ256N WWW.NAMECHEAPAZ","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",14.75$,0.00$,"Cleared"
"Classique Visa Desjardins","","10/12/2024","NAME-CHEAP.COM* AM4NXG WWW.NAMECHEAPAZ","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",12.78$,0.00$,"Cleared"
"WealthSimple Cash","","09/12/2024","Transfer : Principal","","","","",20.00$,0.00$,"Reconciled"
"Principal","","09/12/2024","Transfer : WealthSimple Cash","","","","",0.00$,20.00$,"Reconciled"
"WealthSimple Cash","","07/12/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",188.79$,0.00$,"Reconciled"
"WealthSimple Cash","","07/12/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",105.21$,0.00$,"Reconciled"
"WealthSimple Cash","","07/12/2024","Affirm","Dépense Obligatoire: Tire","Dépense Obligatoire","Tire","",61.39$,0.00$,"Reconciled"
"WealthSimple Cash","","07/12/2024","Amazon Prime Membership","Abonnement: Amazon Prime","Abonnement","Amazon Prime","",11.49$,0.00$,"Reconciled"
"WealthSimple Cash","","07/12/2024","M3u4u","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.38$,0.00$,"Reconciled"
"Classique Visa Desjardins","","06/12/2024","TEMPORARY HOLD g.co/helppaNSCA","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",2.00$,0.00$,"Cleared"
"Classique Visa Desjardins","","06/12/2024","Google","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.00$,"Cleared"
"WealthSimple Cash","","06/12/2024","Government of Canada","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,19.00$,"Reconciled"
"WealthSimple Cash","","05/12/2024","Affirm","Dépense Obligatoire: Ordi PL","Dépense Obligatoire","Ordi PL","",125.76$,0.00$,"Reconciled"
"Principal","","04/12/2024","Interac e-Transfer to /Support /","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",20.00$,0.00$,"Reconciled"
"WealthSimple Cash","","03/12/2024","Money transfer sent to /Katherine /","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",300.00$,0.00$,"Reconciled"
"Classique Visa Desjardins","","03/12/2024","DEPANNEUR KGS PORT-CARTIER QC","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",66.90$,0.00$,"Cleared"
"WealthSimple Cash","","02/12/2024","Canadian Tire","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",63.21$,0.00$,"Reconciled"
"WealthSimple Cash","","02/12/2024","Transfer : Principal","","","","",30.00$,0.00$,"Reconciled"
"WealthSimple Cash","","02/12/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",16.79$,0.00$,"Reconciled"
"Principal","","02/12/2024","Direct deposit /CORR FRAIS TENUE COMPTE 29 NOV","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.25$,"Reconciled"
"WealthSimple Cash","","02/12/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,4.62$,"Reconciled"
"Principal","","02/12/2024","Transfer : WealthSimple Cash","","","","",0.00$,30.00$,"Reconciled"
"WealthSimple Cash","","02/12/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,80.00$,"Reconciled"
"WealthSimple Cash","","02/12/2024","Government of Canada","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,862.00$,"Reconciled"
"🚨 Fonds d'urgence","","01/12/2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.38$,"Reconciled"
"WealthSimple Cash","","01/12/2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1.40$,"Reconciled"
"WealthSimple Cash","","30/11/2024","Paiement Loyer Papa","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",300.00$,0.00$,"Reconciled"
"WealthSimple Cash","","30/11/2024","Beneva","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",234.35$,0.00$,"Reconciled"
"WealthSimple Cash","","30/11/2024","Sandrarutter","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",5.82$,0.00$,"Reconciled"
"WealthSimple Cash","","30/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,17.76$,"Reconciled"
"WealthSimple Cash","","29/11/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",219.41$,0.00$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Shell","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",143.18$,0.00$,"Reconciled"
"WealthSimple Cash","","29/11/2024","McDonald's","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",38.37$,0.00$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Maxi Port Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",31.10$,0.00$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Dollarama","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",30.74$,0.00$,"Reconciled"
"Principal","","29/11/2024","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Reconciled"
"Principal","","29/11/2024","Lily","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",15.00$,0.00$,"Reconciled"
"Principal","","29/11/2024","Account maintenance charges /NOVEMBRE 2024","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",2.25$,0.00$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Transfer : WealthSimple Crypto","Inflow: Ready to Assign","Inflow","Ready to Assign","",1.29$,0.00$,"Reconciled"
"WealthSimple Crypto","","29/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,1.29$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,21.75$,"Reconciled"
"WealthSimple Cash","","29/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,400.00$,"Reconciled"
"WealthSimple Cash","","28/11/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",70.44$,0.00$,"Reconciled"
"WealthSimple Cash","","28/11/2024","TorGuard","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",15.52$,0.00$,"Reconciled"
"WealthSimple Cash","","28/11/2024","TorGuard","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",15.49$,0.00$,"Reconciled"
"Principal","","28/11/2024","Payment /DELL FINANCIAL SERVICES","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",15.00$,0.00$,"Reconciled"
"WealthSimple Cash","","28/11/2024","AirVPN","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",3.10$,0.00$,"Reconciled"
"WealthSimple Cash","","28/11/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,407.99$,"Reconciled"
"WealthSimple Cash","","27/11/2024","Boni-Soir","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",138.06$,0.00$,"Reconciled"
"Classique Visa Desjardins","","26/11/2024","Frais","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",71.81$,0.00$,"Cleared"
"Classique Visa Desjardins","","26/11/2024","PLAN003-MENSUALITÉ ACCORD D PLA 00003 000","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",54.67$,0.00$,"Cleared"
"Classique Visa Desjardins","","26/11/2024","ASSURANCE SOLDE DSF PARTICULIER","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",45.43$,0.00$,"Cleared"
"Classique Visa Desjardins","","26/11/2024","PLAN004-MENSUALITÉ ACCORD D PLA 00004 000","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",36.45$,0.00$,"Cleared"
"WealthSimple Cash","","26/11/2024","YNAB","Abonnement: YNAB","Abonnement","YNAB","",21.04$,0.00$,"Reconciled"
"WealthSimple Cash","","26/11/2024","YNAB","Abonnement: YNAB","Abonnement","YNAB","",21.00$,0.00$,"Reconciled"
"WealthSimple Cash","","26/11/2024","Transfer : Principal","","","","",20.00$,0.00$,"Reconciled"
"Principal","","26/11/2024","Interac e-Transfer to /Support /","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",20.00$,0.00$,"Reconciled"
"Classique Visa Desjardins","","26/11/2024","Taxes Quebec","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",4.09$,0.00$,"Cleared"
"WealthSimple Cash","","26/11/2024","Udemy","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,14.94$,"Reconciled"
"Principal","","26/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,20.00$,"Reconciled"
"WealthSimple Cash","","26/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,56.49$,"Reconciled"
"WealthSimple Cash","","25/11/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",53.85$,0.00$,"Reconciled"
"WealthSimple Cash","","25/11/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",53.82$,0.00$,"Reconciled"
"WealthSimple Cash","","25/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",44.82$,0.00$,"Reconciled"
"WealthSimple Cash","","24/11/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",63.43$,0.00$,"Reconciled"
"WealthSimple Cash","","24/11/2024","Google Gains Ai","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","24/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,15.00$,"Reconciled"
"WealthSimple Cash","","24/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,15.00$,"Reconciled"
"🚨 Fonds d'urgence","","22/11/2024","Transfer : Classique Visa Desjardins","","","","",200.00$,0.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",61.46$,0.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","Newegg","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",54.15$,0.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","Newegg","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",36.98$,0.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",21.97$,0.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,8.00$,"Reconciled"
"WealthSimple Cash","","22/11/2024","Newegg","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.00$,36.98$,"Reconciled"
"Classique Visa Desjardins","","22/11/2024","Transfer : 🚨 Fonds d'urgence","","","","",0.00$,200.00$,"Cleared"
"WealthSimple Cash","","21/11/2024","Emby","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.29$,0.00$,"Reconciled"
"WealthSimple Cash","","21/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,24.02$,"Reconciled"
"WealthSimple Cash","","20/11/2024","Transfer : Principal","","","","",50.00$,0.00$,"Reconciled"
"Principal","","20/11/2024","Desjardins Financial Security","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",9.95$,0.00$,"Reconciled"
"Principal","","20/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,50.00$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Affirm","Dépense Obligatoire: Affirm","Dépense Obligatoire","Affirm","",42.88$,0.00$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",22.98$,0.00$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",22.98$,0.00$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",22.98$,0.00$,"Reconciled"
"Principal","","19/11/2024","Desjardins Financial Security","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",15.75$,0.00$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.00$,17.23$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.00$,22.98$,"Reconciled"
"WealthSimple Cash","","19/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.00$,22.98$,"Reconciled"
"WealthSimple Cash","","18/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,3.36$,"Reconciled"
"WealthSimple Cash","","18/11/2024","Government of Canada","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,264.00$,"Reconciled"
"WealthSimple Cash","","16/11/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",61.03$,0.00$,"Reconciled"
"WealthSimple Cash","","16/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",44.00$,0.00$,"Reconciled"
"WealthSimple Cash","","16/11/2024","Maxi Port Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",20.41$,0.00$,"Reconciled"
"WealthSimple Cash","","16/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.23$,0.00$,"Reconciled"
"WealthSimple Cash","","16/11/2024","Spred","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",14.12$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",150.59$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",104.35$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Canadian Tire","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",102.26$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Transfer : Fairstone","Hidden Categories: 📂 Fairstone / Fridge","Hidden Categories","📂 Fairstone / Fridge","",19.08$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.23$,0.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","ADOBE INC 4029357733","Abonnement: Adobe","Abonnement","Adobe","",14.94$,0.00$,"Reconciled"
"SHR Qualifying share (A) - SHR Qualifying share (A)","","15/11/2024","Starting Balance","","","","",0.00$,5.00$,"Reconciled"
"WealthSimple Cash","","15/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,10.03$,"Reconciled"
"Fairstone","","15/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,19.08$,"Uncleared"
"WealthSimple Cash","","14/11/2024","Transfer : Principal","","","","",200.00$,0.00$,"Reconciled"
"Principal","","14/11/2024","Transfer : Classique Visa Desjardins","","","","",200.00$,0.00$,"Reconciled"
"Principal","","14/11/2024","Insurance /Compagnie d assurance","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",58.56$,0.00$,"Reconciled"
"Classique Visa Desjardins","","14/11/2024","Transfer : Principal","","","","",0.00$,200.00$,"Cleared"
"Principal","","14/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,200.00$,"Reconciled"
"WealthSimple Cash","","14/11/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,820.65$,"Reconciled"
"WealthSimple Cash","","13/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",91.11$,0.00$,"Reconciled"
"WealthSimple Cash","","13/11/2024","Blender Market","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",11.20$,0.00$,"Reconciled"
"WealthSimple Cash","","13/11/2024","Blender Market","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",2.78$,0.00$,"Reconciled"
"WealthSimple Cash","","13/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,184.00$,"Reconciled"
"Principal","","12/11/2024","Money transfer sent to /Maman /","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",75.00$,0.00$,"Reconciled"
"WealthSimple Cash","","12/11/2024","Transfer : Principal","","","","",75.00$,0.00$,"Reconciled"
"Principal","","12/11/2024","Transfer : WealthSimple Cash","","","","",0.00$,75.00$,"Reconciled"
"WealthSimple Cash","","11/11/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",53.85$,0.00$,"Reconciled"
"WealthSimple Cash","","11/11/2024","MacroFactor","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Reconciled"
"WealthSimple Cash","","10/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",35.15$,0.00$,"Reconciled"
"WealthSimple Cash","","10/11/2024","YouTube Premium","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Reconciled"
"Classique Visa Desjardins","","09/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",433.10$,0.00$,"Reconciled"
"WealthSimple Cash","","09/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",43.44$,0.00$,"Reconciled"
"WealthSimple Cash","","09/11/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",24.24$,0.00$,"Reconciled"
"WealthSimple Crypto","","09/11/2024","Reconciliation Balance Adjustment","","","","Entered automatically by YNAB",18.57$,0.00$,"Reconciled"
"WealthSimple Crypto","","09/11/2024","Reconciliation Balance Adjustment","","","","Entered automatically by YNAB",9.55$,0.00$,"Reconciled"
"WealthSimple CELI","","09/11/2024","Reconciliation Balance Adjustment","","","","Entered automatically by YNAB",0.00$,0.02$,"Reconciled"
"WealthSimple Cash","","09/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,26.48$,"Reconciled"
"WealthSimple Cash","","09/11/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,45.00$,"Reconciled"
"WealthSimple Cash","","08/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",51.43$,0.00$,"Reconciled"
"WealthSimple Cash","","08/11/2024","Epic Games","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",31.87$,0.00$,"Reconciled"
"WealthSimple Cash","","08/11/2024","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",20.68$,0.00$,"Reconciled"
"WealthSimple Cash","","07/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",55.10$,0.00$,"Reconciled"
"WealthSimple Cash","","07/11/2024","Amazon Prime","Abonnement: Amazon Prime","Abonnement","Amazon Prime","",11.49$,0.00$,"Reconciled"
"WealthSimple Cash","","07/11/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,448.90$,"Reconciled"
"WealthSimple Cash","","05/11/2024","AFFIRM CANADA VANCOUVER BC","Dépense Obligatoire: Ordi PL","Dépense Obligatoire","Ordi PL","",125.76$,0.00$,"Reconciled"
"WealthSimple Cash","","04/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",36.92$,0.00$,"Reconciled"
"WealthSimple Cash","","04/11/2024","Chomage","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,567.00$,"Reconciled"
"WealthSimple Cash","","03/11/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",150.00$,0.00$,"Reconciled"
"WealthSimple Cash","","03/11/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",34.00$,0.00$,"Reconciled"
"WealthSimple Cash","","01/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",319.57$,0.00$,"Reconciled"
"WealthSimple Cash","","01/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",93.69$,0.00$,"Reconciled"
"WealthSimple Cash","","01/11/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",55.10$,0.00$,"Reconciled"
"WealthSimple Cash","","01/11/2024","PFK","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",30.66$,0.00$,"Reconciled"
"WealthSimple Cash","","01/11/2024","PATREONIREL M 35314369001","Abonnement: Patreon","Abonnement","Patreon","",16.67$,0.00$,"Reconciled"
"🚨 Fonds d'urgence","","01/11/2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.51$,"Reconciled"
"WealthSimple Cash","","01/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,0.55$,"Reconciled"
"WealthSimple Cash","","01/11/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,120.23$,"Reconciled"
"WealthSimple Cash","","31/10/2024","Paiement Loyer Papa","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",600.00$,0.00$,"Reconciled"
"WealthSimple Cash","","31/10/2024","Payment /BENEVA","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",234.35$,0.00$,"Reconciled"
"Principal","","31/10/2024","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Reconciled"
"WealthSimple Cash","","30/10/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,16.56$,"Reconciled"
"WealthSimple Cash","","30/10/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,400.00$,"Reconciled"
"WealthSimple Cash","","28/10/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",59.25$,0.00$,"Reconciled"
"Principal","","28/10/2024","Payment /DELL FINANCIAL SERVICES","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",15.00$,0.00$,"Reconciled"
"WealthSimple Cash","","26/10/2024","Depanneur BT","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (1/2) ",65.00$,0.00$,"Reconciled"
"WealthSimple Cash","","26/10/2024","Depanneur BT","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",73.62$,0.00$,"Reconciled"
"WealthSimple Cash","","26/10/2024","YNAB","Abonnement: YNAB","Abonnement","YNAB","",20.82$,0.00$,"Reconciled"
"WealthSimple Cash","","26/10/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,80.00$,"Reconciled"
"WealthSimple Cash","","25/10/2024","Transfer : Classique Visa Desjardins","","","","",383.12$,0.00$,"Reconciled"
